ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
HTG,2025-08-25 00:00,47500.0,47500.0,47000.0,47050.0,10107.0,3500.0,6400.0,0.0,0.0,0.0
HTG,2025-08-26 00:00,47000.0,47250.0,47000.0,47250.0,6163.0,2700.0,2900.0,0.0,0.0,0.0
HTG,2025-08-27 00:00,47500.0,47500.0,47300.0,47300.0,9953.0,7100.0,800.0,0.0,0.0,0.0
HTG,2025-08-28 00:00,47500.0,47600.0,47300.0,47400.0,11896.0,3600.0,8100.0,0.0,0.0,0.0
HTG,2025-08-29 00:00,47450.0,47450.0,47350.0,47350.0,9004.0,2300.0,6700.0,0.0,0.0,0.0
HTI,2025-07-21 00:00,23050.0,23050.0,22600.0,23050.0,1435537.0,379800.0,468600.0,0.0,9627870000.0,-9627870000.0
HTI,2025-07-22 00:00,23050.0,24600.0,22900.0,23400.0,335350.0,136000.0,167000.0,48512800.0,257070000.0,-208557200.0
HTI,2025-07-23 00:00,23650.0,24200.0,22650.0,22650.0,512592.0,132400.0,311200.0,82200000.0,0.0,82200000.0
HTI,2025-07-24 00:00,22900.0,23450.0,22500.0,23200.0,219667.0,125900.0,87700.0,157930000.0,0.0,157930000.0
HTI,2025-07-25 00:00,23200.0,23500.0,22650.0,22850.0,318065.0,106000.0,209300.0,114625000.0,0.0,114625000.0
HTI,2025-07-28 00:00,23050.0,23650.0,22800.0,23300.0,673266.0,345400.0,320200.0,0.0,4650000000.0,-4650000000.0
HTI,2025-07-29 00:00,23750.0,23750.0,22100.0,22100.0,327743.0,71700.0,232900.0,627735000.0,277090000.0,350645000.0
HTI,2025-07-30 00:00,22850.0,22850.0,22000.0,22500.0,143926.0,59000.0,52800.0,94860000.0,0.0,94860000.0
HTI,2025-07-31 00:00,22600.0,23150.0,22200.0,22550.0,170900.0,77800.0,88100.0,0.0,0.0,0.0
HTI,2025-08-01 00:00,22550.0,22550.0,22100.0,22200.0,121415.0,53700.0,42500.0,24565000.0,0.0,24565000.0
HTI,2025-08-04 00:00,22450.0,22600.0,22150.0,22400.0,139803.0,48400.0,88100.0,42590000.0,2230000.0,40360000.0
HTI,2025-08-05 00:00,22450.0,23000.0,22200.0,22400.0,289270.0,185400.0,97500.0,253005000.0,69295000.0,183710000.0
HTI,2025-08-06 00:00,22900.0,22900.0,22500.0,22700.0,174066.0,58300.0,111100.0,43140000.0,20520000.0,22620000.0
HTI,2025-08-07 00:00,22800.0,22850.0,22500.0,22600.0,185632.0,33400.0,139200.0,183870000.0,0.0,183870000.0
HTI,2025-08-08 00:00,22750.0,23500.0,22550.0,23500.0,204452.0,118300.0,54200.0,0.0,598000000.0,-598000000.0
HTI,2025-08-11 00:00,23600.0,24500.0,23600.0,24350.0,218706.0,112400.0,93800.0,265070000.0,874690000.0,-609620000.0
HTI,2025-08-12 00:00,24300.0,24350.0,23500.0,23650.0,283482.0,50000.0,223600.0,52520000.0,0.0,52520000.0
HTI,2025-08-13 00:00,23650.0,23750.0,22800.0,23600.0,456264.0,109000.0,343400.0,105835000.0,0.0,105835000.0
HTI,2025-08-14 00:00,23800.0,23800.0,23350.0,23500.0,136136.0,55400.0,75200.0,7020000.0,256245000.0,-249225000.0
HTI,2025-08-15 00:00,23500.0,23500.0,22900.0,22900.0,182106.0,26700.0,146200.0,11725000.0,23200000.0,-11475000.0
HTI,2025-08-18 00:00,22600.0,23200.0,22600.0,22900.0,96246.0,32700.0,63500.0,36720000.0,103625000.0,-66905000.0
HTI,2025-08-19 00:00,23000.0,23250.0,22700.0,23000.0,48360.0,16500.0,31500.0,39165000.0,0.0,39165000.0
HTI,2025-08-20 00:00,23050.0,23050.0,22400.0,22600.0,178059.0,38600.0,136700.0,0.0,34262000.0,-34262000.0
HTI,2025-08-21 00:00,22550.0,23150.0,22300.0,22800.0,101919.0,38500.0,62700.0,445640000.0,4610000.0,441030000.0
HTI,2025-08-22 00:00,22650.0,22650.0,22000.0,22400.0,130300.0,30000.0,96800.0,2200000.0,306540000.0,-304340000.0
